HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,7225,KZT,1600546,МФУ HP Ink Tank Wireless 419 Z6Z97A,5,40,1,86700,86700,https://kaspi.kz/shop/p/mfu-hp-ink-tank-wireless-419-z6z97a-1600546/?c=710000000,1,2018-07-19T14:28:06.345Z,piece,МФУ HP Ink Tank Wireless 419 Z6Z97A,false,true,https://kaspi.kz/shop/p/mfu-hp-ink-tank-wireless-419-z6z97a-1600546/?c=750000000,86 700 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-hp-ink-tank-wireless-419-z6z97a-1600546/?c=750000000&tab=reviews,7.05,[object Object],9,40,0,,EXPRESS,Ink Tank Wireless 419 Z6Z97A,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,5664,KZT,100755651,МФУ HP DeskJet 2320,4.5,70,1,16990,16990,https://kaspi.kz/shop/p/mfu-hp-deskjet-2320-100755651/?c=710000000,1,2020-11-17T17:36:19.719Z,piece,МФУ HP DeskJet 2320,false,true,https://kaspi.kz/shop/p/mfu-hp-deskjet-2320-100755651/?c=750000000,16 990 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-hp-deskjet-2320-100755651/?c=750000000&tab=reviews,6.4,[object Object],9,70,0,,TILL_2_DAYS,DeskJet 2320,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,40977,KZT,1500082,Epson L1800 черный,5,58,1,491718,491718,https://kaspi.kz/shop/p/epson-l1800-chernyi-1500082/?c=710000000,1,2015-04-13T09:16:33.282Z,piece,Epson L1800 черный,false,true,https://kaspi.kz/shop/p/epson-l1800-chernyi-1500082/?c=750000000,491 718 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/epson-l1800-chernyi-1500082/?c=750000000&tab=reviews,12.5,[object Object],10,58,0,,EXPRESS,L1800,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
Epson,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,12912,KZT,107433651,МФУ Epson L3260,5,5,1,154940,154940,https://kaspi.kz/shop/p/mfu-epson-l3260-107433651/?c=710000000,1,2022-11-10T14:42:10.309Z,piece,МФУ Epson L3260,false,true,https://kaspi.kz/shop/p/mfu-epson-l3260-107433651/?c=750000000,154 940 ₸,,"[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-epson-l3260-107433651/?c=750000000&tab=reviews,0,[object Object],10,5,0,,TODAY,L3260,"Categories,Office equipment and consumables,MF printers,Computers","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,6907,KZT,1600547,HP Ink Tank Wireless 415 Z4B53A черный,5,25,1,82880,82880,https://kaspi.kz/shop/p/hp-ink-tank-wireless-415-z4b53a-chernyi-1600547/?c=710000000,1,2018-07-19T14:32:27.381Z,piece,HP Ink Tank Wireless 415 Z4B53A черный,false,true,https://kaspi.kz/shop/p/hp-ink-tank-wireless-415-z4b53a-chernyi-1600547/?c=750000000,82 880 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/hp-ink-tank-wireless-415-z4b53a-chernyi-1600547/?c=750000000&tab=reviews,7.04,[object Object],10,25,0,,EXPRESS,Ink Tank Wireless 415 Z4B53A,"Computers,MF printers,Office equipment and consumables,Categories","[object Object],[object Object]",,750000000,
Canon,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,7492,KZT,101161576,Canon Pixma G2420 4465C09 черный,5,67,1,89900,89900,https://kaspi.kz/shop/p/canon-pixma-g2420-4465c09-chernyi-101161576/?c=710000000,1,2021-03-12T04:18:37.109Z,piece,Canon Pixma G2420 4465C09 черный,false,true,https://kaspi.kz/shop/p/canon-pixma-g2420-4465c09-chernyi-101161576/?c=750000000,89 900 ₸,,"[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/canon-pixma-g2420-4465c09-chernyi-101161576/?c=750000000&tab=reviews,6.4,[object Object],9,67,0,,EXPRESS,Pixma G2420 4465C09,"Computers,MF printers,Office equipment and consumables,Categories","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,5366,KZT,1500462,HP Laser 107a белый,5,64,1,64390,64390,https://kaspi.kz/shop/p/hp-laser-107a-belyi-1500462/?c=710000000,1,2019-08-13T07:32:01.496Z,piece,HP Laser 107a белый,false,true,https://kaspi.kz/shop/p/hp-laser-107a-belyi-1500462/?c=750000000,64 390 ₸,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/hp-laser-107a-belyi-1500462/?c=750000000&tab=reviews,5.56,[object Object],10,64,0,,TOMORROW,Laser 107a,"Computers,MF printers,Office equipment and consumables,Categories","[object Object],[object Object]",,750000000,
Canon,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,7408,KZT,1600577,Canon PIXMA G2415 черный,5,21,1,88890,88890,https://kaspi.kz/shop/p/canon-pixma-g2415-chernyi-1600577/?c=710000000,1,2018-10-29T03:21:00.332Z,piece,Canon PIXMA G2415 черный,false,true,https://kaspi.kz/shop/p/canon-pixma-g2415-chernyi-1600577/?c=750000000,88 890 ₸,,"[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/canon-pixma-g2415-chernyi-1600577/?c=750000000&tab=reviews,6.3,[object Object],10,21,0,,TILL_5_DAYS,PIXMA G2415,"Computers,MF printers,Office equipment and consumables,Categories","[object Object],[object Object]",,750000000,
HP,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,5197,KZT,105223019,HP LaserJet M111a 7MD67A,5,10,1,62359,62359,https://kaspi.kz/shop/p/hp-laserjet-m111a-7md67a-105223019/?c=710000000,1,2022-06-17T04:46:05.696Z,piece,HP LaserJet M111a 7MD67A,false,true,https://kaspi.kz/shop/p/hp-laserjet-m111a-7md67a-105223019/?c=750000000,62 359 ₸,,"[object Object],[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/hp-laserjet-m111a-7md67a-105223019/?c=750000000&tab=reviews,0,[object Object],9,10,0,,EXPRESS,LaserJet M111a 7MD67A,"Computers,MF printers,Office equipment and consumables,Categories","[object Object],[object Object]",,750000000,
Canon,"Компьютеры,Оргтехника и расходные материалы,Принтеры и МФУ",02930,11130,KZT,101241166,МФУ Canon imageCLASS MF3010,5,37,1,133550,133550,https://kaspi.kz/shop/p/mfu-canon-imageclass-mf3010-101241166/?c=710000000,1,2021-04-01T08:12:37.456Z,piece,МФУ Canon imageCLASS MF3010,false,true,https://kaspi.kz/shop/p/mfu-canon-imageclass-mf3010-101241166/?c=750000000,133 550 ₸,,"[object Object],[object Object],[object Object]",[object Object],https://kaspi.kz/shop/p/mfu-canon-imageclass-mf3010-101241166/?c=750000000&tab=reviews,0,[object Object],10,37,0,,EXPRESS,imageCLASS MF3010,"Computers,MF printers,Office equipment and consumables,Categories","[object Object],[object Object]",,750000000,
