"Код","Артикул","Наименование","Полное наименование","Цена дил.","Цена роз.","Статус","Остаток","Заказ"
"Мобильные телефоны и аксессуары","","","","","","","",""
"Мобильные телефоны","","","","","","","",""
"47098","M2101K6G","Мобильный телефон Redmi Note 10 Pro 8GB RAM 256GB ROM Glacier Blue","Мобильный телефон, Redmi, Note 10 Pro 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5020 мАч, 2400х1080, Bluetooth 5.1, 108MPx+8MPx+5MPx+2MPx/16MPx, Snapdragon 732G, Gorilla Glass 5, NFC, Fast Charge 33W, (Glacier Blue) Синий","123000","139990","",">50",""
"47099","M2101K6G","Мобильный телефон Redmi Note 10 Pro 8GB RAM 256GB ROM Onyx Gray","Мобильный телефон, Redmi, Note 10 Pro 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5020 мАч, 2400х1080, Bluetooth 5.1, 108MPx+8MPx+5MPx+2MPx/16MPx, Snapdragon 732G, Gorilla Glass 5, NFC, Fast Charge 33W, (Onyx Gray) Серый","123000","139990","",">50",""
"47907","M2101K6G","Мобильный телефон Redmi Note 10 Pro 8GB RAM 256GB ROM Aurora green","Мобильный телефон, Redmi, Note 10 Pro 8GB 256GB, 6.67"" FHD+AMOLED, Аккумулятор 5020 мАч, 2400х1080, Bluetooth 5.1, 108MPx+8MPx+5MPx+2MPx/16MPx, Snapdragon 732G, Gorilla Glass 5, NFC, Fast Charge 33W, (Aurora green) Зелёный","123000","139990","",">50",""
"41535","2201117TG","Мобильный телефон Redmi Note 11 4GB RAM 64GB ROM Star Blue","Мобильный телефон, Redmi, Note 11 4GB 64GB, 6.43"" FHD+, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx+2MPx/13MPx, Snapdragon 680, Gorilla Glass 5, Fast Charge 33W, (Star Blue) Светло-синий","91375","89990","","1",""
"41255","2201117TG","Мобильный телефон Redmi Note 11 4GB RAM 64GB ROM Graphite Gray","Мобильный телефон, Redmi, Note 11 4GB 64GB, 6.43"" FHD+, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx+2MPx/13MPx, Snapdragon 680, Gorilla Glass 3, Fast Charge 33W, (Graphite Gray) Серый","91375","89990","","0",""
"41256","2201117TG","Мобильный телефон Redmi Note 11 4GB RAM 64GB ROM Twilight Blue","Мобильный телефон, Redmi, Note 11 4GB 64GB, 6.43"" FHD+, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx+2MPx/13MPx, Snapdragon 680, Gorilla Glass 3, Fast Charge 33W, (Twilight Blue) Синий","91375","89990","",">50",""
"41285","2201117TG","Мобильный телефон Redmi Note 11 4GB RAM 128GB ROM Twilight Blue","Мобильный телефон, Redmi, Note 11 4GB 128GB, 6.43"" FHD+, Аккумулятор 5000 мАч, 50MPx+8MPx+2MPx+2MPx/13MPx, Snapdragon 680, Gorilla Glass 3, Fast Charge 33W, (Twilight Blue) Синий","100150","99990","","0",""
"41800","2201117SG","Мобильный телефон Redmi Note 11S 6GB RAM 64GB ROM Graphite Gray","Мобильный телефон, Redmi, Note 11S 6GB 64GB, 6.43"" FHD+AMOLED, Аккумулятор 5000 мАч, 108MPx+8MPx+2MPx+2MPx/16MPx, Mediatek G96, Gorilla Glass 3, Fast Charge 33W, (Graphite Gray) Серый","108350","99990","",">50",""
"41821","2201117SG","Мобильный телефон Redmi Note 11S 6GB RAM 64GB ROM Twilight Blue","Мобильный телефон, Redmi, Note 11S 6GB 64GB, 6.43"" FHD+AMOLED, Аккумулятор 5000 мАч, 108MPx+8MPx+2MPx+2MPx/16MPx, Mediatek G96, Gorilla Glass 3, Fast Charge 33W, (Twilight Blue) Синий","108350","99990","",">50",""
"41573","2201117SG","Мобильный телефон Redmi Note 11S 6GB RAM 128GB ROM Graphite Gray","Мобильный телефон, Redmi, Note 11S 6GB 128GB, 6.43"" FHD+AMOLED, Аккумулятор 5000 мАч, 108MPx+8MPx+2MPx+2MPx/16MPx, Mediatek G96, Gorilla Glass 3, Fast Charge 33W, (Graphite Gray) Серый","116550","109990","","0",""
